"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2016","32","PM2.5","Durham Armory","37-063-0015","AQS","111","10","39.2","01/01/2000","01/01/2007"
"01/02/2016","37","PM2.5","Durham Armory","37-063-0015","AQS","76","8","36.8","01/02/2005","01/02/2012"
"01/03/2016","45","PM2.5","Durham Armory","37-063-0015","AQS","66","14","38.2","01/03/2004","01/03/2012"
"01/04/2016","33","PM2.5","Durham Armory","37-063-0015","AQS","61","9","30.4","01/04/2008","01/04/2007"
"01/05/2016","27","PM2.5","Durham Armory","37-063-0015","AQS","83","8","26","01/05/2001","01/05/2015"
"01/06/2016","39","PM2.5","Durham Armory","37-063-0015","AQS","71","15","32.4","01/06/2002","01/06/2009"
"01/07/2016","39","PM2.5","Durham Armory","37-063-0015","AQS","75","18","37","01/07/2001","01/07/2003"
"01/08/2016","31","PM2.5","Durham Armory","37-063-0015","AQS","76","15","36.6","01/08/2001","01/08/2007"
"01/09/2016","20","PM2.5","Durham Armory","37-063-0015","AQS","57","19","35","01/09/2017","01/09/2007"
"01/10/2016","20","PM2.5","Durham Armory","37-063-0015","AQS","71","20","35.6","01/10/2005","01/10/2016"
"01/11/2016","33","PM2.5","Durham Armory","37-063-0015","AQS","81","14","47.6","01/11/2005","01/11/2014"
"01/12/2016","45","PM2.5","Durham Armory","37-063-0015","AQS","77","5","32","01/12/2005","01/12/2018"
"01/13/2016","32","PM2.5","Durham Armory","37-063-0015","AQS","62","16","30.2","01/13/2009","01/13/2012"
"01/14/2016","52","PM2.5","Durham Armory","37-063-0015","AQS","63","15","35.4","01/14/2010","01/14/2005"
"01/15/2016","60","PM2.5","Durham Armory","37-063-0015","AQS","68","0","50.8","01/15/2001","01/15/2013"
"01/16/2016","37","PM2.5","Durham Armory","37-063-0015","AQS","62","6","43.8","01/16/2010","01/16/2013"
"01/17/2016","30","PM2.5","Durham Armory","37-063-0015","AQS","65","2","45.4","01/17/2001","01/17/2013"
"01/18/2016","35","PM2.5","Durham Armory","37-063-0015","AQS","73","17","41","01/18/2001","01/18/2006"
"01/19/2016","36","PM2.5","Durham Armory","37-063-0015","AQS","68","25","41.2","01/19/2000","01/19/2012"
"01/20/2016","47","PM2.5","Durham Armory","37-063-0015","AQS","60","15","44.6","01/20/2002","01/20/2001"
"01/21/2016","54","PM2.5","Durham Armory","37-063-0015","AQS","66","21","41.6","01/21/2009","01/21/2011"
"01/22/2016","52","PM2.5","Durham Armory","37-063-0015","AQS","64","16","40.8","01/22/2003","01/22/2010"
"01/23/2016","31","PM2.5","Durham Armory","37-063-0015","AQS","63","18","26.2","01/23/2009","01/23/2017"
"01/24/2016","48","PM2.5","Durham Armory","37-063-0015","AQS","67","8","24","01/24/2001","01/24/2015"
"01/25/2016","65","PM2.5","Durham Armory","37-063-0015","AQS","66","16","43.4","01/25/2003","01/25/2010"
"01/26/2016","59","PM2.5","Durham Armory","37-063-0015","AQS","62","16","45.2","01/26/2003","01/26/2011"
"01/27/2016","54","PM2.5","Durham Armory","37-063-0015","AQS","63","15","40.2","01/27/2013","01/27/2012"
"01/28/2016","57","PM2.5","Durham Armory","37-063-0015","AQS","61","15","36.6","01/28/2003","01/28/2014"
"01/29/2016","50","PM2.5","Durham Armory","37-063-0015","AQS","65","12","37","01/29/2003","01/29/2012"
"01/30/2016","52","PM2.5","Durham Armory","37-063-0015","AQS","57","24","35.4","01/30/2002","01/30/2010"
"01/31/2016","59","PM2.5","Durham Armory","37-063-0015","AQS","64","9","40.2","01/31/2000","01/31/2013"
"02/01/2016","51","PM2.5","Durham Armory","37-063-0015","AQS","72","13","47.8","02/01/2012","02/01/2013"
"02/02/2016","45","PM2.5","Durham Armory","37-063-0015","AQS","62","16","37","02/02/2006","02/02/2013"
"02/03/2016","24","PM2.5","Durham Armory","37-063-0015","AQS","69","19","36.8","02/03/2019","02/03/2013"
"02/04/2016","27","PM2.5","Durham Armory","37-063-0015","AQS","67","19","40.2","02/04/2019","02/04/2014"
"02/05/2016","40","PM2.5","Durham Armory","37-063-0015","AQS","68","11","43.4","02/05/2008","02/05/2014"
"02/06/2016","51","PM2.5","Durham Armory","37-063-0015","AQS","61","23","46.2","02/06/2000","02/06/2015"
"02/07/2016","38","PM2.5","Durham Armory","37-063-0015","AQS","71","25","46.4","02/07/2017","02/07/2008"
"02/08/2016","38","PM2.5","Durham Armory","37-063-0015","AQS","91","15","42.6","02/08/2001","02/08/2013"
