"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"7-Eleven","Japan/Ito-Yokado","$7070","$2528","$4542"
"ABB Group","Switzerland/Asea Brown Boveri","$34500","$18750","$15750"
"Accenture","UK/Accenture plc","$220947","$94242","$126705"
"ACE INA","UK/ACE Group","$77250","$31500","$45750"
"Acuson Corp (Siemens AG)","Germany/Siemens AG","$0","$0","$0"
"AE Staley Manufacturing (Tate & Lyle)","UK/Tate & Lyle","$28500","$12500","$16000"
"AEGON USA (AEGON NV)","Netherlands/Aegon NV","$164500","$73500","$91000"
"AIM Management Group","UK/AMVESCAP","$24500","$8500","$16000"
"Air Liquide America","France/L'Air Liquide SA","$2650","$2000","$650"
"Alcatel USA","France/Alcatel","$13750","$4500","$9250"
"Alcon Laboratories (Nestle SA)","Switzerland/Nestle","$2000","$1000","$1000"
"Allfirst Financial","Ireland/Allied Irish Banks","$6320","$3820","$2500"
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$60750","$19100","$41650"
"Allied Domecq Spirits & Wine","UK/Allied Domecq","$32250","$6000","$26250"
"American Water Works Co (RWE AG)","Germany/RWE AG","$32900","$12850","$20050"
"AMP Inc (Tyco International)","Ireland/Tyco International","$0","$0","$0"
"Anglogold Ltd","UK/Anglo American PLC","$11850","$3000","$8850"
"APL Ltd","Singapore/Neptune Orient Lines Ltd","$15360","$5250","$10110"
"Aqua-Chem Inc","France/Lyonnaise des Eaux-Dumez Group","$0","$0","$0"
"ASARCO LLC","Mexico/Nueva Grupo Mexico","$2000","$0","$2000"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca","$125800","$38050","$87750"
"ATOFINA Chemicals (TotalFinaElf)","France/TOTAL FINA ELF","$26600","$7100","$19500"
"ATOFINA Petrochemicals (TotalFinaElf)","France/TotalFinaElf","$2500","$1000","$1500"
"Aventis Pasteur USA (Aventis)","France/Aventis","$137040","$75790","$61250"
"Aventis Pharmaceuticals (Aventis)","France/Aventis","$116000","$24500","$91500"
"Aventis Pharmaceuticals Products (Aventis)","France/Aventis","$15267","$0","$15267"
"Babcock & Wilcox (McDermott International)","Panama/McDermott International","$30500","$10000","$20500"
"Bacardi USA","UK/Bacardi Ltd","$0","$0","$0"
"BAE Systems North America (BAE Systems)","UK/BAE Systems","$390276","$149028","$241248"
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$75000","$33500","$41500"
"BASF Corp","Germany/BASF Group","$204500","$41500","$163000"
"Bayer Corp (Bayer AG)","Germany/Bayer AG","$260500","$73000","$187500"
"Bayer CropScience (Bayer AG)","Germany/Bayer AG","$36000","$15500","$20500"
"Bear Creek Corp (Yamanouchi Consumer)","Japan/Yamanouchi Consumer","$10150","$5050","$5100"
"BHP Holdings","Australia/BHP Billiton","$1023","$400","$623"
"Bird-Johnson Co (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$3000","$500","$2500"
"Blue Circle America","UK/Blue Circle Industries","$8500","$1000","$7500"
"BOC Group","UK/BOC Group","$0","$0","$0"
"Bombardier Transportation USA","Canada/Bombardier Inc","$24000","$10500","$13500"
"BP","UK/BP PLC","$175000","$65750","$109250"
"Bridgestone Americas","Japan/Bridgestone Corp","$60200","$24200","$36000"
"Brown & Williamson Tobacco","UK/British American Tobacco","$242324","$44000","$198324"
"Budd Co","Germany/ThyssenKrupp AG","$1000","$1000","$0"
"Burns International Services (Securitas AB)","Sweden/Securitas AB","$0","$0","$0"
"Burson-Marsteller (WPP Group)","UK/WPP Group","$91540","$38040","$52500"
"Business Men's Assurance Co","Italy/Assicurazioni Generali","$2500","$1500","$1000"
"BWX Technologies (McDermott International)","Panama/McDermott International","$38650","$10050","$28600"
"Cable & Wireless USA","UK/Cable & Wireless PLC","$52100","$24000","$28100"
"Case New Holland","Italy/Fiat SPA","$46500","$4500","$42000"
"Celanese Americas Corp","Germany/Celanese AG","$74500","$22500","$52000"
"Central Soya Co","France/Cereol","$11300","$2000","$9300"
"CGU Corp","UK/CGNU PLC","$0","$0","$0"
"Ciba Specialty Chemicals","Switzerland/Ciba Specialty Chemicals Holding","$29500","$7500","$22000"
"CIBC Oppenheimer","Canada/Canadian Imperial Bank of Commerce","$0","$0","$0"
"Cooper Industries","Ireland/Cooper Industries Ltd","$187500","$0","$187500"
"Coral Energy (Royal Dutch/Shell Group of Companies)","Netherlands/Royal Dutch Shell","$0","$0","$0"
"Credit Suisse First Boston (Credit Suisse Group)","Switzerland/Credit Suisse Group","$298312","$135812","$162500"
"Credit Suisse First Boston (Credit Suisse Group)","Switzerland/Credit Suisse Group","$0","$0","$0"
"DaimlerChrysler (DaimlerChrysler)","Germany/DaimlerChrysler AG","$483090","$196590","$286500"
"Diageo North America (Diageo PLC)","UK/Diageo PLC","$61000","$24000","$37000"
"E ON US","Germany/Eon AG","$4850","$500","$4350"
"Equitable Life Assurance Society (AXA)","France/AXA","$104500","$39500","$65000"
"Essroc Corp","Italy/Italcementi Group","$2600","$1500","$1100"
"Experian (GUS plc)","UK/GUS plc","$1000","$0","$1000"
"Experian (GUS Plc)","UK/GUS plc","$0","$0","$0"
"Farmers Group (Zurich Financial Services)","Switzerland/Zurich Financial Services","$36650","$7300","$29350"
"First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$5200","$5200","$0"
"Food Lion","Belgium/Delhaize Group","$37750","$10000","$27750"
"Fortis Inc","Belgium/Fortis AG","$79000","$21000","$58000"
"Foster Wheeler","Switzerland/Foster Wheeler PLC","$8800","$1000","$7800"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Group","$128250","$71500","$56750"
"GKN Corp","UK/GKN PLC","$630","$0","$630"
"GlaxoSmithKline (GlaxoSmithKline)","UK/GlaxoSmithKline","$769042","$193923","$575119"
"GlaxoSmithKline (GlaxoSmithKline)","UK/GlaxoSmithKline","-$4000","-$500","-$3500"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$21825","$12675","$9150"
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$35550","$4050","$31500"
"Greyhound Lines","Canada/Laidlaw","$39500","$24500","$15000"
"Heineken USA (Heineken NV)","Netherlands/Heineken NV","$12000","$8000","$4000"
"Hill & Knowlton (WPP Group)","UK/WPP Group","$30000","$17500","$12500"
"Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$101800","$60300","$41500"
"Holcim US","Switzerland/Holcim Ltd","$71838","$24213","$47625"
"HSBC USA","UK/HSBC Holdings","$5330","$3000","$2330"
"ING US (ING Group)","Netherlands/ING Group","$149395","$52000","$97395"
"Instinet Corp","UK/Reuters Group","$67500","$23500","$44000"
"Jackson National Life Insurance","UK/Prudential PLC","$71821","$21000","$50821"
"Joseph E Seagram & Sons (Diageo PLC)","UK/Diageo PLC","$26300","$10300","$16000"
"Kennecott Energy","UK/Rio Tinto PLC","$85246","$21000","$64246"
"LaFarge North America","France/Lafarge SA","$42500","$15000","$27500"
"LaSalle Bank (ABN AMRO)","Netherlands/ABN Amro Holding","$32250","$18000","$14250"
"Learjet Inc (Bombardier Inc)","Canada/Bombardier Inc","$1000","$500","$500"
"Lehigh Cement","Germany/HeidelbergCement AG","$16250","$3500","$12750"
"Lone Star Industries","Germany/Dyckerfhoff","$10500","$4000","$6500"
"Loral Space & Communications","UK/Loral Space & Communications","$96600","$74600","$22000"
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$53500","$16500","$37000"
"Mallinckrodt Pharmaceuticals (Tyco International)","Ireland/Tyco International","$24000","$9000","$15000"
"Massachusetts Financial Services","Canada/Sun Life Financial Services","$1000","$1000","$0"
"Master Builders Inc","Germany/E.ON AG","$0","$0","$0"
"McDermott International (McDermott International)","Panama/McDermott International","$20500","$4500","$16000"
"Michigan National Bank","Australia/National Australia Bank","$500","$0","$500"
"Miller Brewing (SABMiller)","UK/SABMiller PLC","$4000","$4000","$0"
"National Grid USA (National Grid plc)","UK/National Grid plc","$61450","$33500","$27950"
"National Steel Corp","Japan/NKK Corp","$0","$0","$0"
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$26500","$5500","$21000"
"Nestle USA (Nestle SA)","Switzerland/Nestle","$49250","$15000","$34250"
"Nestle Waters North America (Nestle SA)","Switzerland/Nestle","$7900","$3000","$4900"
"News America Publishing (News Corporation)","Australia/News Corp","$87710","$48000","$39710"
