"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2020","53","PM2.5","Oakland","06-001-0009","AQS","162","33","60.6","01/01/2001","01/01/2019"
"01/02/2020","43","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","140","21","63.2","01/02/2001","01/02/2002"
"01/03/2020","74","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","142","31","83.4","01/03/2018","01/03/2006"
"01/04/2020","45","PM2.5","Livermore","06-001-0007","AQS","145","31","85.4","01/04/2018","01/04/2007"
"01/05/2020","33","PM2.5","Livermore","06-001-0007","AQS","124","32","55.8","01/05/2001","01/05/2007"
"01/06/2020","35","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","158","33","53.8","01/06/2001","01/06/2008"
"01/07/2020","49","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","178","33","50.6","01/07/2001","01/07/2017"
"01/08/2020","33","Ozone","San Francisco","06-075-0005","AQS","128","31","56.6","01/08/2010","01/08/2012"
"01/09/2020","32","Ozone","San Francisco","06-075-0005","AQS","95","34","51.4","01/09/2003","01/09/2018"
"01/10/2020","38","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","101","32","51.6","01/10/2012","01/10/2013"
"01/11/2020","37","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","103","26","55.2","01/11/2002","01/11/2000"
"01/12/2020","34","Ozone","San Francisco","06-075-0005","AQS","149","28","51.8","01/12/2004","01/12/2001"
"01/13/2020","35","Ozone","San Francisco","06-075-0005","AQS","104","35","49","01/13/2004","01/13/2007"
"01/14/2020","33","Ozone","Concord","06-013-0002","AQS","122","34","64.6","01/14/2004","01/14/2003"
"01/15/2020","36","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","105","35","69.4","01/15/2005","01/15/2001"
"01/16/2020","35","Ozone","Hayward","06-001-2001","AQS","103","33","66.8","01/16/2010","01/16/2012"
"01/17/2020","38","PM2.5","Concord","06-013-0002","AQS","136","30","64","01/17/2009","01/17/2016"
"01/18/2020","42","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","123","32","58.6","01/18/2004","01/18/2006"
"01/19/2020","44","PM2.5","Redwood City","06-081-1001","AQS","136","35","45.8","01/19/2001","01/19/2018"
"01/20/2020","63","PM2.5","Concord","06-013-0002","AQS","161","33","48","01/20/2001","01/20/2000"
"01/21/2020","33","Ozone","Hayward","06-001-2001","AQS","162","30","49.2","01/21/2001","01/21/2008"
"01/22/2020","37","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","148","32","47.2","01/22/2001","01/22/2002"
"01/23/2020","47","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","118","28","49.2","01/23/2007","01/23/2008"
"01/24/2020","48","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","149","32","55.8","01/24/2007","01/24/2001"
"01/25/2020","48","PM2.5","San Pablo","06-013-1004","AQS","138","30","52.8","01/25/2007","01/25/2000"
"01/26/2020","36","Ozone","San Pablo","06-013-1004","AQS","123","29","59.8","01/26/2007","01/26/2009"
"01/27/2020","41","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","110","31","56.4","01/27/2007","01/27/2013"
"01/28/2020","40","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","91","31","63.2","01/28/2015","01/28/2002"
"01/29/2020","49","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","97","31","57.2","01/29/2000","01/29/2001"
"01/30/2020","40","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","82","33","55.2","01/30/2009","01/30/2004"
"01/31/2020","55","PM2.5","San Francisco","06-075-0005","AQS","96","32","57.8","01/31/2005","01/31/2004"
"02/01/2020","67","PM2.5","San Francisco","06-075-0005","AQS","114","32","57.8","02/01/2002","02/01/2016"
"02/02/2020","36","Ozone","San Francisco","06-075-0005","AQS","117","31","54.8","02/02/2001","02/02/2006"
"02/03/2020","35","Ozone","San Pablo","06-013-1004","AQS","126","29","51.4","02/03/2009","02/03/2004"
"02/04/2020","34","Ozone","Hayward","06-001-2001","AQS","134","34","55.8","02/04/2005","02/04/2008"
"02/05/2020","46","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","135","31","48.4","02/05/2007","02/05/2003"
"02/06/2020","53","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","80","31","43.2","02/06/2002","02/06/2015"
"02/07/2020","59","PM2.5","Concord","06-013-0002","AQS","72","31","48.2","02/07/2000","02/07/2017"
"02/08/2020","48","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","95","26","51.4","02/08/2018","02/08/2017"
"02/09/2020","34","Ozone","Oakland West","06-001-0011","AQS","92","28","53.2","02/09/2006","02/09/2007"
"02/10/2020","37","Ozone","Hayward","06-001-2001","AQS","91","31","45.8","02/10/2006","02/10/2009"
"02/11/2020","38","Ozone","Hayward","06-001-2001","AQS","117","31","45.2","02/11/2003","02/11/2009"
"02/12/2020","54","PM2.5","San Francisco","06-075-0005","AQS","100","30","45.8","02/12/2004","02/12/2010"
"02/13/2020","44","PM2.5","San Pablo","06-013-1004","AQS","91","33","47","02/13/2004","02/13/2007"
"02/14/2020","42","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","84","30","54","02/14/2002","02/14/2003"
"02/15/2020","54","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","81","35","48","02/15/2001","02/15/2006"
"02/16/2020","38","Ozone","Oakland West","06-001-0011","AQS","73","33","53","02/16/2018","02/16/2002"
"02/17/2020","41","Ozone","Livermore","06-001-0007","AQS","71","29","47.6","02/17/2001","02/17/2004"
"02/18/2020","48","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","85","33","42.4","02/18/2010","02/18/2002"
